Row Labels, Average of Away Team Rating , Average of Away Team Possession % , Average of Away Team Off Target Shots , Average of Away Team On Target Shots , Average of Away Team Total Shots , Average of Away Team Blocked Shots , Average of Away Team Corners , Average of Away Team Throw Ins , Average of Away Team Pass Success % , Average of Away Team Aerials Won , Average of Away Team Clearances , Average of Away Team Fouls , Average of Away Team Yellow Cards , Average of Away Team Second Yellow Cards , Average of Away Team Red Cards , Average of Away Team Goals Scored , Average of Away Team Goals Conceeded 
ALAVÉS,5.707368 ,40.305263 ,3.821053 ,2.884211 ,8.473684 ,1.778947 ,3.263158 ,20.000000 ,70.800000 ,20.200000 ,24.442105 ,14.568421 ,2.600000 ,0.073684 ,0.073684 ,0.947368 ,1.600000 
ALMERÍA,5.621053 ,42.315789 ,4.157895 ,2.789474 ,9.210526 ,2.368421 ,4.631579 ,22.789474 ,68.526316 ,15.210526 ,29.263158 ,14.947368 ,2.789474 ,0.210526 ,0.052632 ,0.789474 ,1.894737 
ATHLETIC,6.027068 ,48.939850 ,4.458647 ,3.481203 ,9.992481 ,2.075188 ,4.323308 ,23.240602 ,73.774436 ,21.022556 ,19.706767 ,13.796992 ,2.511278 ,0.052632 ,0.045113 ,0.962406 ,1.353383 
ATLETICO MADRID,6.533835 ,47.699248 ,4.067669 ,4.075188 ,10.375940 ,2.300752 ,4.353383 ,22.481203 ,77.157895 ,18.917293 ,22.248120 ,13.481203 ,2.781955 ,0.067669 ,0.045113 ,1.390977 ,0.789474 
BARCELONA,7.070677 ,66.030075 ,4.827068 ,6.037594 ,13.977444 ,3.112782 ,5.120301 ,18.842105 ,87.225564 ,10.977444 ,13.812030 ,10.127820 ,2.157895 ,0.045113 ,0.007519 ,2.278195 ,0.917293 
CÁDIZ CF,6.205263 ,33.052632 ,3.894737 ,2.631579 ,7.473684 ,0.947368 ,4.631579 ,19.894737 ,65.368421 ,18.947368 ,20.578947 ,11.210526 ,2.000000 ,0.105263 ,0.052632 ,1.000000 ,1.473684 
CELTA,5.945113 ,52.368421 ,3.909774 ,3.503759 ,9.654135 ,2.263158 ,3.774436 ,20.240602 ,78.195489 ,16.691729 ,21.548872 ,13.759398 ,2.827068 ,0.105263 ,0.067669 ,1.120301 ,1.676692 
CÓRDOBA,5.821053 ,41.210526 ,4.157895 ,3.157895 ,9.263158 ,1.947368 ,3.263158 ,20.842105 ,73.315789 ,18.263158 ,31.473684 ,13.421053 ,3.105263 ,0.157895 ,0.157895 ,0.526316 ,1.842105 
DEPORTIVO,6.073684 ,45.236842 ,4.592105 ,3.197368 ,10.223684 ,2.447368 ,4.657895 ,22.052632 ,74.842105 ,15.881579 ,24.578947 ,13.000000 ,2.578947 ,0.052632 ,0.026316 ,0.855263 ,1.815789 
EIBAR,5.802256 ,45.661654 ,4.766917 ,3.398496 ,10.308271 ,2.172932 ,4.639098 ,25.120301 ,69.827068 ,20.526316 ,19.631579 ,14.233083 ,2.413534 ,0.075188 ,0.037594 ,0.962406 ,1.631579 
ELCHE,5.900000 ,46.236842 ,3.789474 ,2.789474 ,8.394737 ,1.868421 ,3.973684 ,21.342105 ,75.578947 ,14.605263 ,19.763158 ,14.421053 ,2.631579 ,0.052632 ,0.052632 ,0.842105 ,1.657895 
ESPANYOL,5.803509 ,44.921053 ,3.938596 ,3.157895 ,9.377193 ,2.280702 ,3.745614 ,21.078947 ,73.780702 ,15.991228 ,24.315789 ,14.947368 ,2.921053 ,0.105263 ,0.035088 ,0.973684 ,1.622807 
GETAFE,5.626316 ,41.824561 ,3.964912 ,2.947368 ,9.298246 ,2.394737 ,3.947368 ,24.587719 ,66.456140 ,19.429825 ,20.614035 ,16.684211 ,3.289474 ,0.105263 ,0.070175 ,0.859649 ,1.561404 
GIJÓN,5.797368 ,41.421053 ,3.289474 ,2.552632 ,7.921053 ,2.210526 ,3.947368 ,22.078947 ,68.815789 ,14.894737 ,26.105263 ,15.078947 ,2.973684 ,0.157895 ,0.026316 ,0.736842 ,1.789474 
GIRONA,6.160526 ,45.447368 ,4.131579 ,3.868421 ,9.894737 ,1.921053 ,3.421053 ,19.605263 ,75.710526 ,18.000000 ,25.131579 ,14.736842 ,2.657895 , -   ,0.026316 ,1.157895 ,1.631579 
GRANADA,5.512632 ,42.252632 ,3.768421 ,3.178947 ,9.178947 ,2.263158 ,3.389474 ,22.368421 ,70.989474 ,16.621053 ,22.568421 ,15.147368 ,3.168421 ,0.063158 ,0.052632 ,1.021053 ,2.147368 
HUESCA,5.973684 ,43.526316 ,4.552632 ,3.157895 ,10.026316 ,2.315789 ,3.421053 ,20.236842 ,76.078947 ,17.552632 ,21.157895 ,14.578947 ,2.315789 ,0.026316 ,0.078947 ,0.947368 ,1.763158 
LAS PALMAS,5.871930 ,53.701754 ,4.368421 ,3.666667 ,10.017544 ,2.017544 ,3.982456 ,18.473684 ,81.087719 ,12.070175 ,21.333333 ,12.912281 ,2.666667 ,0.087719 ,0.070175 ,0.859649 ,2.122807 
LEGANÉS,5.810526 ,41.263158 ,4.328947 ,3.394737 ,9.881579 ,2.157895 ,3.552632 ,21.434211 ,71.000000 ,21.000000 ,21.592105 ,15.500000 ,3.065789 ,0.065789 ,0.039474 ,0.789474 ,1.526316 
LEVANTE,5.635088 ,45.087719 ,4.350877 ,3.096491 ,9.938596 ,2.500000 ,4.412281 ,21.447368 ,74.114035 ,14.991228 ,21.228070 ,13.614035 ,2.631579 ,0.043860 ,0.035088 ,0.973684 ,1.789474 
MÁLAGA,6.109211 ,46.078947 ,4.592105 ,3.236842 ,9.973684 ,2.171053 ,4.210526 ,23.513158 ,72.657895 ,15.776316 ,23.815789 ,15.105263 ,2.815789 ,0.131579 ,0.052632 ,0.723684 ,1.473684 
MALLORCA,5.510526 ,46.157895 ,5.052632 ,3.157895 ,11.052632 ,2.842105 ,4.315789 ,20.368421 ,77.526316 ,16.473684 ,15.421053 ,12.473684 ,2.052632 ,0.052632 , -   ,0.789474 ,2.263158 
OSASUNA,5.657895 ,41.070175 ,4.403509 ,3.228070 ,9.614035 ,2.000000 ,3.245614 ,21.614035 ,68.807018 ,22.070175 ,22.368421 ,14.403509 ,2.438596 ,0.087719 ,0.052632 ,0.929825 ,1.842105 
RAYO VALLECANO,5.952632 ,53.596491 ,5.070175 ,3.859649 ,11.982456 ,3.070175 ,5.280702 ,22.842105 ,78.543860 ,15.298246 ,20.578947 ,14.701754 ,2.754386 ,0.140351 ,0.035088 ,1.035088 ,2.175439 
REAL BETIS,5.952632 ,53.008772 ,3.815789 ,3.684211 ,9.991228 ,2.500000 ,3.850877 ,19.991228 ,79.991228 ,14.219298 ,20.929825 ,12.912281 ,2.587719 ,0.061404 ,0.078947 ,1.026316 ,1.640351 
REAL MADRID,6.884211 ,57.578947 ,5.969925 ,5.827068 ,15.082707 ,3.330827 ,5.375940 ,19.518797 ,85.842105 ,13.187970 ,16.533835 ,11.624060 ,2.172932 ,0.067669 ,0.037594 ,2.150376 ,1.097744 
REAL SOCIEDAD,6.113534 ,52.819549 ,4.390977 ,3.586466 ,10.526316 ,2.556391 ,4.496241 ,22.413534 ,78.315789 ,18.112782 ,21.060150 ,12.984962 ,2.218045 ,0.060150 ,0.030075 ,1.172932 ,1.413534 
SEVILLA FC,6.136842 ,52.827068 ,4.654135 ,4.105263 ,11.353383 ,2.593985 ,5.000000 ,22.278195 ,78.721805 ,16.413534 ,20.902256 ,14.293233 ,2.736842 ,0.097744 ,0.045113 ,1.285714 ,1.496241 
VALENCIA,6.056391 ,48.105263 ,3.857143 ,3.443609 ,9.563910 ,2.278195 ,4.105263 ,19.939850 ,77.864662 ,15.556391 ,23.203008 ,13.248120 ,2.796992 ,0.135338 ,0.105263 ,1.218045 ,1.443609 
VALLADOLID,5.807018 ,43.789474 ,4.035088 ,3.122807 ,9.649123 ,2.491228 ,4.122807 ,20.000000 ,72.877193 ,17.771930 ,20.842105 ,12.754386 ,2.350877 , -   ,0.035088 ,0.789474 ,1.403509 
VILLARREAL,6.207519 ,47.902256 ,3.939850 ,3.774436 ,10.135338 ,2.436090 ,3.842105 ,20.977444 ,78.135338 ,14.609023 ,25.052632 ,14.150376 ,2.631579 ,0.052632 ,0.037594 ,1.187970 ,1.180451 
